,City,2019
1,"New York city, New York",8336817
2,"Los Angeles city, California",3979576
3,"Chicago city, Illinois",2693976
4,"Houston city, Texas",2320268
5,"Phoenix city, Arizona",1680992
6,"Philadelphia city, Pennsylvania",1584064
7,"San Antonio city, Texas",1547253
8,"San Diego city, California",1423851
9,"Dallas city, Texas",1343573
10,"San Jose city, California",1021795
11,"Austin city, Texas",978908
12,"Jacksonville city, Florida",911507
13,"Fort Worth city, Texas",909585
14,"Columbus city, Ohio",898553
15,"Charlotte city, North Carolina",885708
16,"San Francisco city, California",881549
17,"Indianapolis city (balance), Indiana",876384
18,"Seattle city, Washington",753675
19,"Denver city, Colorado",727211
20,"Washington city, District of Columbia",705749
21,"Boston city, Massachusetts",692600
22,"El Paso city, Texas",681728
23,"Nashville-Davidson metropolitan government (balance), Tennessee",670820
24,"Detroit city, Michigan",670031
25,"Oklahoma City city, Oklahoma",655057
26,"Portland city, Oregon",654741
27,"Las Vegas city, Nevada",651319
28,"Memphis city, Tennessee",651073
29,"Louisville/Jefferson County metro government (balance), Kentucky",617638
30,"Baltimore city, Maryland",593490
31,"Milwaukee city, Wisconsin",590157
32,"Albuquerque city, New Mexico",560513
33,"Tucson city, Arizona",548073
34,"Fresno city, California",531576
35,"Mesa city, Arizona",518012
36,"Sacramento city, California",513624
37,"Atlanta city, Georgia",506811
38,"Kansas City city, Missouri",495327
39,"Colorado Springs city, Colorado",478221
40,"Omaha city, Nebraska",478192
41,"Raleigh city, North Carolina",474069
42,"Miami city, Florida",467963
43,"Long Beach city, California",462628
44,"Virginia Beach city, Virginia",449974
45,"Oakland city, California",433031
46,"Minneapolis city, Minnesota",429606
47,"Tulsa city, Oklahoma",401190
48,"Tampa city, Florida",399700
49,"Arlington city, Texas",398854
50,"New Orleans city, Louisiana",390144
51,"Wichita city, Kansas",389938
52,"Bakersfield city, California",384145
53,"Cleveland city, Ohio",381009
54,"Aurora city, Colorado",379289
55,"Anaheim city, California",350365
56,"Urban Honolulu CDP, Hawaii",345064
57,"Santa Ana city, California",332318
58,"Riverside city, California",331360
59,"Corpus Christi city, Texas",326586
60,"Lexington-Fayette urban county, Kentucky",323152
61,"Henderson city, Nevada",320189
62,"Stockton city, California",312697
63,"St. Paul city, Minnesota",308096
64,"Cincinnati city, Ohio",303940
65,"St. Louis city, Missouri",300576
66,"Pittsburgh city, Pennsylvania",300286
67,"Greensboro city, North Carolina",296710
68,"Lincoln city, Nebraska",289102
69,"Anchorage municipality, Alaska",288000
70,"Plano city, Texas",287677
71,"Orlando city, Florida",287442
72,"Irvine city, California",287401
73,"Newark city, New Jersey",282011
74,"Durham city, North Carolina",278993
75,"Chula Vista city, California",274492
76,"Toledo city, Ohio",272779
77,"Fort Wayne city, Indiana",270402
78,"St. Petersburg city, Florida",265351
79,"Laredo city, Texas",262491
80,"Jersey City city, New Jersey",262075
81,"Chandler city, Arizona",261165
82,"Madison city, Wisconsin",259680
83,"Lubbock city, Texas",258862
84,"Scottsdale city, Arizona",258069
85,"Reno city, Nevada",255601
86,"Buffalo city, New York",255284
87,"Gilbert town, Arizona",254114
88,"Glendale city, Arizona",252381
89,"North Las Vegas city, Nevada",251974
90,"Winston-Salem city, North Carolina",247945
91,"Chesapeake city, Virginia",244835
92,"Norfolk city, Virginia",242742
93,"Fremont city, California",241110
94,"Garland city, Texas",239928
95,"Irving city, Texas",239798
96,"Hialeah city, Florida",233339
97,"Richmond city, Virginia",230436
98,"Boise City city, Idaho",228959
99,"Spokane city, Washington",222081
100,"Baton Rouge city, Louisiana",220236
101,"Tacoma city, Washington",217827
102,"San Bernardino city, California",215784
103,"Modesto city, California",215196
104,"Fontana city, California",214547
105,"Des Moines city, Iowa",214237
106,"Moreno Valley city, California",213055
107,"Santa Clarita city, California",212979
108,"Fayetteville city, North Carolina",211657
109,"Birmingham city, Alabama",209403
110,"Oxnard city, California",208881
111,"Rochester city, New York",205695
112,"Port St. Lucie city, Florida",201846
113,"Grand Rapids city, Michigan",201013
114,"Huntsville city, Alabama",200574
115,"Salt Lake City city, Utah",200567
116,"Frisco city, Texas",200490
117,"Yonkers city, New York",200370
118,"Amarillo city, Texas",199371
119,"Glendale city, California",199303
120,"Huntington Beach city, California",199223
121,"McKinney city, Texas",199177
122,"Montgomery city, Alabama",198525
123,"Augusta-Richmond County consolidated government (balance), Georgia",197888
124,"Aurora city, Illinois",197757
125,"Akron city, Ohio",197597
126,"Little Rock city, Arkansas",197312
127,"Tempe city, Arizona",195805
128,"Columbus city, Georgia",195769
129,"Overland Park city, Kansas",195494
130,"Grand Prairie city, Texas",194543
131,"Tallahassee city, Florida",194500
132,"Cape Coral city, Florida",194495
133,"Mobile city, Alabama",188720
134,"Knoxville city, Tennessee",187603
135,"Shreveport city, Louisiana",187112
136,"Worcester city, Massachusetts",185428
137,"Ontario city, California",185010
138,"Vancouver city, Washington",184463
139,"Sioux Falls city, South Dakota",183793
140,"Chattanooga city, Tennessee",182799
141,"Brownsville city, Texas",182781
142,"Fort Lauderdale city, Florida",182437
143,"Providence city, Rhode Island",179883
144,"Newport News city, Virginia",179225
145,"Rancho Cucamonga city, California",177603
146,"Santa Rosa city, California",176753
147,"Peoria city, Arizona",175961
148,"Oceanside city, California",175742
149,"Elk Grove city, California",174775
150,"Salem city, Oregon",174365
151,"Pembroke Pines city, Florida",173591
152,"Eugene city, Oregon",172622
153,"Garden Grove city, California",171644
154,"Cary town, North Carolina",170282
155,"Fort Collins city, Colorado",170243
156,"Corona city, California",169868
157,"Springfield city, Missouri",167882
158,"Jackson city, Mississippi",160628
159,"Alexandria city, Virginia",159428
160,"Hayward city, California",159203
161,"Clarksville city, Tennessee",158146
162,"Lakewood city, Colorado",157935
163,"Lancaster city, California",157601
164,"Salinas city, California",155465
165,"Palmdale city, California",155079
166,"Hollywood city, Florida",154817
167,"Springfield city, Massachusetts",153606
168,"Macon-Bibb County, Georgia",153159
169,"Kansas City city, Kansas",152960
170,"Sunnyvale city, California",152703
171,"Pomona city, California",151691
172,"Killeen city, Texas",151666
173,"Escondido city, California",151625
174,"Pasadena city, Texas",151227
175,"Naperville city, Illinois",148449
176,"Bellevue city, Washington",148164
177,"Joliet city, Illinois",147344
178,"Murfreesboro city, Tennessee",146900
179,"Midland city, Texas",146038
180,"Rockford city, Illinois",145609
181,"Paterson city, New Jersey",145233
182,"Savannah city, Georgia",144464
183,"Bridgeport city, Connecticut",144399
184,"Torrance city, California",143592
185,"McAllen city, Texas",143268
186,"Syracuse city, New York",142327
187,"Surprise city, Arizona",141664
188,"Denton city, Texas",141541
189,"Roseville city, California",141500
190,"Thornton city, Colorado",141464
191,"Miramar city, Florida",141191
192,"Pasadena city, California",141029
193,"Mesquite city, Texas",140937
194,"Olathe city, Kansas",140545
195,"Dayton city, Ohio",140407
196,"Carrollton city, Texas",139248
197,"Waco city, Texas",139236
198,"Orange city, California",138669
199,"Fullerton city, California",138632
200,"Charleston city, South Carolina",137566
201,"West Valley City city, Utah",135248
202,"Visalia city, California",134605
203,"Hampton city, Virginia",134510
204,"Gainesville city, Florida",133997
205,"Warren city, Michigan",133943
206,"Coral Springs city, Florida",133759
207,"Cedar Rapids city, Iowa",133562
208,"Round Rock city, Texas",133372
209,"Sterling Heights city, Michigan",132438
210,"Kent city, Washington",132319
211,"Columbia city, South Carolina",131674
212,"Santa Clara city, California",130365
213,"New Haven city, Connecticut",130250
214,"Stamford city, Connecticut",129638
215,"Concord city, California",129295
216,"Elizabeth city, New Jersey",129216
217,"Athens-Clarke County unified government (balance), Georgia",126913
218,"Thousand Oaks city, California",126813
219,"Lafayette city, Louisiana",126185
220,"Simi Valley city, California",125613
221,"Topeka city, Kansas",125310
222,"Norman city, Oklahoma",124880
223,"Fargo city, North Dakota",124662
224,"Wilmington city, North Carolina",123744
225,"Abilene city, Texas",123420
226,"Odessa city, Texas",123334
227,"Columbia city, Missouri",123195
228,"Pearland city, Texas",122460
229,"Victorville city, California",122385
230,"Hartford city, Connecticut",122105
231,"Vallejo city, California",121692
232,"Allentown city, Pennsylvania",121442
233,"Berkeley city, California",121363
234,"Richardson city, Texas",121323
235,"Arvada city, Colorado",121272
236,"Ann Arbor city, Michigan",119980
237,"Rochester city, Minnesota",118935
238,"Cambridge city, Massachusetts",118927
239,"Sugar Land city, Texas",118488
240,"Lansing city, Michigan",118210
241,"Evansville city, Indiana",117979
242,"College Station city, Texas",117911
243,"Fairfield city, California",117133
