Overall,City,Winter,Spring,Summer,Fall
1,"Glendale, CA",1,3,6,1
1,"Pasadena, CA",1,3,6,1
1,"Burbank, CA",1,3,6,1
1,"Bakersfield, CA",13,2,1,3
1,"Modesto, CA",6,6,1,3
1,"Turlock, CA",6,6,1,3
2,"Davis, CA",8,3,2,4
2,"Merced, CA",9,7,1,4
2,"Riverside, CA",4,4,4,3
2,"Jurupa Valley, CA",4,4,4,3
2,"Arden-Arcade, CA",10,1,5,4
2,"Citrus Heights, CA",10,1,5,4
3,"Roseville, CA",10,1,5,4
3,"Saint George, UT",1,6,10,3
3,"Menifee, CA",3,1,3,9
3,"Las Cruces, NM",2,4,7,6
3,"Hesperia, CA",8,2,2,8
3,"Apple Valley, CA",8,2,2,8
3,"Victorville, CA",8,2,2,8
4,"Scottsdale, AZ",5,2,11,5
4,"Henderson, NV",7,2,9,6
4,"Stockton, CA",9,10,3,6
4,"Visalia, CA",16,17,1,1
4,"Tracy, CA",9,10,3,6
4,"Manteca, CA",9,10,3,6
5,"Lancaster, CA",1,9,5,9
5,"Palmdale, CA",1,9,5,9
5,"Sunnyvale, CA",2,6,19,2
5,"Mountain View, CA",2,6,19,2
5,"Corona, CA",6,3,18,2
6,"Pleasanton, CA",4,10,14,1
6,"Livermore, CA",4,10,14,1
6,"San Ramon, CA",4,10,14,1
6,"Sacramento, CA",17,9,6,2
6,"Roswell, NM",3,13,9,5
6,"Vacaville, CA",23,7,4,1
7,"Hemet, CA",3,1,3,31
7,"Indio, CA",12,4,9,15
7,"North Las Vegas, NV",9,4,14,13
7,"Anaheim, CA",6,7,16,10
7,"Garden Grove, CA",6,7,16,10
7,"Fullerton, CA",6,7,16,10
7,"Norwalk, CA",6,7,16,10
7,"Buena Park, CA",6,7,16,10
8,"Suffolk, VA",3,21,13,4
8,"Los Angeles, CA",11,4,19,7
8,"East Los Angeles, CA",11,4,19,7
8,"South Gate, CA",11,4,19,7
9,"Concord, CA",16,13,17,5
9,"Antioch, CA",16,13,17,5
9,"Chino, CA",17,16,10,8
9,"Chino Hills, CA",17,16,10,8
9,"San Bernardino, CA",22,14,1,15
9,"Redlands, CA",22,14,1,15
9,"Rialto, CA",22,14,1,15
10,"Rio Rancho, NM",17,10,13,13
10,"Midland, TX",11,18,15,14
10,"Moreno Valley, CA",18,19,9,12
10,"Perris, CA",18,19,9,12
10,"Temecula, CA",18,19,9,12
11,"San Tan Valley, AZ",14,2,25,16
11,"Murrieta, CA",3,1,15,42
11,"Odessa, TX",13,20,20,13
11,"Redding, CA",37,20,2,6
11,"Lynwood, CA",4,8,32,17
11,"Inglewood, CA",4,8,32,17
11,"Compton, CA",4,8,32,17
11,"Hawthorne, CA",4,8,32,17
12,"Escondido, CA",7,33,19,7
12,"Greeley, CO",17,21,20,9
12,"Columbia, SC",12,21,28,7
12,"Brandon, FL",34,16,15,5
13,"Bend, OR",22,25,13,11
13,"Mount Pleasant, SC",23,27,20,4
13,"Thornton, CO",27,18,7,22
13,"Folsom, CA",43,11,4,18
13,"Elk Grove, CA",43,11,4,18
13,"Rancho Cordova, CA",43,11,4,18
14,"Tucson, AZ",7,5,54,7
14,"Casas Adobes, AZ",7,5,55,7
14,"Fort Collins, CO",14,27,23,10
14,"Loveland, CO",14,27,23,10
14,"Santa Monica, CA",3,11,44,18
14,"Fresno, CA",30,21,6,19
14,"Clovis, CA",30,21,6,19
15,"Mesquite, TX",22,32,13,15
15,"Concord, NC",14,14,16,40
15,"Wichita Falls, TX",16,24,22,21
15,"Longmont, CO",33,24,7,16
15,"Gastonia, NC",12,30,26,16
16,"Santa Fe, NM",27,20,24,12
16,"San Angelo, TX",17,34,22,9
16,"Charleston, SC",20,29,21,16
16,"Pomona, CA",34,16,10,25
16,"Tampa, FL",30,19,22,12
16,"Riverview, FL",30,19,22,12
17,"Denton, TX",5,42,25,9
17,"Silver Spring, MD",21,28,19,20
17,"Fontana, CA",25,29,8,24
17,"Rancho Cucamonga, CA",25,29,8,24
17,"Ontario, CA",25,29,8,24
17,"Upland, CA",25,29,8,24
18,"Grand Prairie, TX",23,23,18,23
18,"Pueblo, CO",26,25,18,16
18,"Long Beach, CA",15,17,29,28
18,"Downey, CA",15,17,29,28
18,"Carson, CA",15,17,29,28
18,"Lakewood, CA",15,17,29,28
18,"Bellflower, CA",15,17,29,28
19,"Surprise, AZ",18,10,44,18
19,"McKinney, TX",11,46,21,10
19,"Allen, TX",11,46,21,10
19,"Tulsa, OK",8,45,23,11
19,"Broken Arrow, OK",8,45,23,11
20,"Provo, UT",37,23,14,13
20,"Orem, UT",37,23,14,13
20,"Thousand Oaks, CA",5,15,52,21
20,"Santa Barbara, CA",4,18,52,17
20,"Greenville, NC",2,28,27,36
20,"El Cajon, CA",37,15,17,27
20,"Yuma, AZ",24,6,36,27
21,"Norman, OK",20,38,22,16
21,"Abilene, TX",16,38,27,13
21,"Fort Worth, TX",11,42,29,13
21,"Oxnard, CA",2,15,59,24
21,"Ventura, CA",2,15,59,24
22,"Rock Hill, SC",13,31,30,27
22,"Nampa, ID",56,15,8,25
22,"Meridian, ID",56,15,8,25
22,"Hoover, AL",22,33,26,26
22,"Boulder, CO",40,25,10,30
22,"San Jose, CA",29,28,25,23
22,"Santa Clara, CA",29,28,25,23
23,"Augusta, GA",18,28,41,18
23,"Milpitas, CA",29,28,25,23
23,"Union City, CA",13,22,60,14
23,"Hayward, CA",13,22,60,14
23,"Yakima, WA",70,16,11,14
24,"Johns Creek, GA",27,19,22,46
24,"Fairfield, CA",43,25,23,19
24,"Paradise, NV",38,35,13,22
24,"Arlington, TX",13,46,26,26
24,"Las Vegas, NV",23,13,42,33
24,"Sunrise Manor, NV",23,13,42,33
24,"Spring Valley, NV",23,13,42,33
24,"Enterprise, NV",23,13,42,33
25,"Spring Hill, FL",24,24,36,24
25,"Kennewick, WA",53,14,14,36
25,"Winston-Salem, NC",13,35,39,27
25,"Fort Smith, AR",21,48,19,26
26,"Jackson, MS",44,38,16,14
26,"El Paso, TX",20,16,54,30
26,"Glendale, AZ",36,5,41,32
26,"Peoria, AZ",36,5,41,32
26,"Flagstaff, AZ",21,33,50,16
26,"Athens-Clarke, GA",24,33,33,30
27,"Atlanta, GA",30,36,28,24
27,"Sandy Springs, GA",30,36,28,24
27,"Oklahoma City, OK",26,40,30,22
27,"Edmond, OK",26,40,30,22
27,"Orlando, FL",25,24,45,28
27,"Alafaya, FL",25,24,45,28
28,"Columbia, MD",39,21,15,53
28,"Phoenix, AZ",28,8,59,31
28,"Tempe, AZ",28,8,59,31
28,"Boise, ID",63,27,9,28
28,"Fishers, IN",65,17,13,34
28,"Macon, GA",31,30,36,27
29,"Garland, TX",23,49,16,38
29,"Cape Coral, FL",27,23,47,30
29,"Deltona, FL",28,25,41,32
29,"Santa Ana, CA",19,25,40,44
29,"Irvine, CA",19,25,40,44
29,"Orange, CA",19,25,40,44
29,"Costa Mesa, CA",19,25,40,44
30,"Mission Viejo, CA",19,25,41,44
30,"Newport Beach, CA",19,25,41,44
30,"Lake Forest, CA",19,25,41,44
30,"Tustin, CA",19,25,41,44
30,"Germantown, MD",29,35,28,33
31,"Albany, GA",26,31,56,18
31,"Columbus, GA",34,32,43,19
31,"Ogden, UT",63,34,11,21
31,"Lynchburg, VA",14,38,47,33
31,"Fayetteville, NC",8,35,56,34
31,"Palm Coast, FL",45,23,11,56
32,"Portsmouth, VA",21,36,44,31
32,"Shreveport, LA",41,43,24,20
32,"Fayetteville, AR",21,48,27,35
32,"El Monte, CA",56,22,12,47
32,"West Covina, CA",56,22,12,47
32,"Whittier, CA",56,22,12,47
32,"Alhambra, CA",56,22,12,47
32,"Baldwin Park, CA",56,22,12,47
33,"Independence, MO",32,44,34,20
33,"Huntsville, AL",38,20,25,59
33,"Chandler, AZ",40,7,46,47
33,"Gilbert, AZ",40,7,46,47
34,"Chico, CA",56,33,7,44
34,"Kearney, NE",42,40,34,19
34,"Tuscaloosa, AL",44,35,27,30
34,"Santa Rosa, CA",49,31,35,23
34,"Medford, OR",49,45,14,29
34,"Gainesville, FL",31,29,44,37
35,"Carlsbad, CA",10,34,62,41
35,"Vista, CA",10,34,62,41
35,"San Marcos, CA",10,34,62,41
35,"West Valley, UT",76,12,5,59
35,"West Jordan, UT",76,12,5,59
35,"Lehigh Acres, FL",40,24,48,34
35,"Sandy, UT",76,12,5,59
36,"Oceanside, CA",12,33,64,47
36,"Longview, TX",40,53,27,22
36,"Boca Raton, FL",61,20,11,63
36,"Kansas City, MO",32,44,47,20
36,"Dothan, AL",41,36,53,15
36,"Boynton Beach, FL",61,20,12,63
37,"Wilmington, NC",20,37,49,47
37,"Topeka, KS",28,54,34,26
37,"Overland Park, KS",32,44,49,20
37,"Kansas City, KS",32,44,49,20
37,"Avondale, AZ",43,12,51,50
37,"Goodyear, AZ",43,12,51,50
38,"Vallejo, CA",34,34,60,21
38,"Napa, CA",34,34,60,21
38,"Reno, NV",53,42,18,38
38,"Sparks, NV",53,42,18,38
38,"Huntington Beach, CA",36,27,50,44
38,"Westminster, CA",36,27,50,44
39,"Saint Charles, MO",45,47,26,33
39,"Waco, TX",20,63,35,37
39,"Jonesboro, AR",49,50,24,30
39,"Pembroke Pines, FL",31,37,37,51
39,"Miramar, FL",31,37,37,51
39,"Davie, FL",31,37,37,51
39,"Weston, FL",31,37,37,51
40,"Tyler, TX",37,59,31,27
40,"Temple, TX",35,52,31,36
40,"Trenton, NJ",27,49,45,37
40,"Missouri City, TX",56,58,17,30
41,"Gulfport, MS",53,45,36,21
41,"Lawrence, KS",40,56,36,26
41,"Mesa, AZ",50,12,53,55
41,"Amarillo, TX",31,41,51,38
41,"Torrance, CA",51,18,55,46
41,"Redondo Beach, CA",51,18,55,46
42,"Albuquerque, NM",26,28,62,58
42,"Jackson, TN",54,49,24,36
42,"Fremont, CA",63,32,33,40
42,"Lake Charles, LA",70,38,15,44
42,"Redwood City, CA",56,30,40,43
42,"Palm Bay, FL",35,32,55,53
43,"Melbourne, FL",35,32,55,53
43,"Joliet, IL",62,40,28,36
43,"Salinas, CA",14,36,78,49
43,"Beaumont, TX",79,41,9,41
43,"Sugar Land, TX",54,59,30,26
43,"Chesapeake, VA",33,50,58,29
